message_id,user_attributes,message_status,message_delivery_failure_reason
8340090,"{""whatsapp_display_name"": ""Michael Scott""}, {""whatsapp_phone_number"": ""254722001001""}, {""user_id"": ""DM-001""}, {""organization"": ""Dunder Mifflin""}",responded,
8340088,"{""whatsapp_display_name"": ""Dwight Schrute""}, {""whatsapp_phone_number"": ""254722001002""}, {""user_id"": ""DM-002""}, {""organization"": ""Dunder Mifflin""}",read,
8340082,"{""whatsapp_display_name"": ""Jim Halpert""}, {""whatsapp_phone_number"": ""254722001003""}, {""user_id"": ""DM-003""}, {""organization"": ""Dunder Mifflin""}",responded,
8340084,"{""whatsapp_display_name"": ""Pam Beesly""}, {""whatsapp_phone_number"": ""254722001004""}, {""user_id"": ""DM-004""}, {""organization"": ""Dunder Mifflin""}",delivered,
8340086,"{""whatsapp_display_name"": ""Ryan Howard""}, {""whatsapp_phone_number"": ""254722001005""}, {""user_id"": ""DM-005""}, {""organization"": ""Dunder Mifflin""}",read,
8340073,"{""whatsapp_display_name"": ""Andy Bernard""}, {""whatsapp_phone_number"": ""254722001006""}, {""user_id"": ""DM-006""}, {""organization"": ""Dunder Mifflin""}",read,
8340076,"{""whatsapp_display_name"": ""Kevin Malone""}, {""whatsapp_phone_number"": ""254722001007""}, {""user_id"": ""DM-007""}, {""organization"": ""Dunder Mifflin""}",responded,
8340078,"{""whatsapp_display_name"": ""Creed Bratton""}, {""whatsapp_phone_number"": ""254722001008""}, {""user_id"": ""DM-008""}, {""organization"": ""Dunder Mifflin""}",read,
8340080,"{""whatsapp_display_name"": ""Phyllis Vance""}, {""whatsapp_phone_number"": ""254722001009""}, {""user_id"": ""DM-009""}, {""organization"": ""Dunder Mifflin""}",delivered,
8340067,"{""whatsapp_display_name"": ""Jeff Winger""}, {""whatsapp_phone_number"": ""254722001010""}, {""user_id"": ""DM-010""}, {""organization"": ""Greendale Community College""}",responded,
8340069,"{""whatsapp_display_name"": ""Britta Perry""}, {""whatsapp_phone_number"": ""254722001011""}, {""user_id"": ""DM-011""}, {""organization"": ""Greendale Community College""}",read,
8340071,"{""whatsapp_display_name"": ""Abed Nadir""}, {""whatsapp_phone_number"": ""254722001012""}, {""user_id"": ""DM-012""}, {""organization"": ""Greendale Community College""}",responded,
7799309,"{""whatsapp_display_name"": ""Annie Edison""}, {""whatsapp_phone_number"": ""254722001013""}, {""user_id"": ""DM-013""}, {""organization"": ""Greendale Community College""}",invalid_user,Receiver is incapable of receiving this message
7799304,"{""whatsapp_display_name"": ""Shirley Bennett""}, {""whatsapp_phone_number"": ""254722001014""}, {""user_id"": ""DM-014""}, {""organization"": ""Greendale Community College""}",read,
7799294,"{""whatsapp_display_name"": ""Pierce Hawthorne""}, {""whatsapp_phone_number"": ""254722001015""}, {""user_id"": ""DM-015""}, {""organization"": ""Greendale Community College""}",responded,
7799272,"{""whatsapp_display_name"": ""Troy Barnes""}, {""whatsapp_phone_number"": ""254722001016""}, {""user_id"": ""DM-016""}, {""organization"": ""Greendale Community College""}",read,
7799237,"{""whatsapp_display_name"": ""Liz Lemon""}, {""whatsapp_phone_number"": ""254722001017""}, {""user_id"": ""DM-017""}, {""organization"": ""TGS with Tracy Jordan""}",read,
7799227,"{""whatsapp_display_name"": ""Jack Donaghy""}, {""whatsapp_phone_number"": ""254722001018""}, {""user_id"": ""DM-018""}, {""organization"": ""GE""}",responded,
7799219,"{""whatsapp_display_name"": ""Kenneth Parcell""}, {""whatsapp_phone_number"": ""254722001019""}, {""user_id"": ""DM-019""}, {""organization"": ""NBC""}",responded,
7799173,"{""whatsapp_display_name"": ""Tracy Jordan""}, {""whatsapp_phone_number"": ""254722001020""}, {""user_id"": ""DM-020""}, {""organization"": ""TGS with Tracy Jordan""}",read,
7798852,"{""whatsapp_display_name"": ""Jenna Maroney""}, {""whatsapp_phone_number"": ""254722001021""}, {""user_id"": ""DM-021""}, {""organization"": ""TGS with Tracy Jordan""}",read,
7798844,"{""whatsapp_display_name"": ""Pete Hornberger""}, {""whatsapp_phone_number"": ""254722001022""}, {""user_id"": ""DM-022""}, {""organization"": ""TGS with Tracy Jordan""}",responded,
7798794,"{""whatsapp_display_name"": ""Frank Rossitano""}, {""whatsapp_phone_number"": ""254722001023""}, {""user_id"": ""DM-023""}, {""organization"": ""TGS with Tracy Jordan""}",read,
7798790,"{""whatsapp_display_name"": ""Leslie Knope""}, {""whatsapp_phone_number"": ""254722001024""}, {""user_id"": ""DM-024""}, {""organization"": ""Pawnee Parks Department""}",responded,
7798652,"{""whatsapp_display_name"": ""Ron Swanson""}, {""whatsapp_phone_number"": ""254722001025""}, {""user_id"": ""DM-025""}, {""organization"": ""Pawnee Parks Department""}",responded,
7798639,"{""whatsapp_display_name"": ""Ann Perkins""}, {""whatsapp_phone_number"": ""254722001026""}, {""user_id"": ""DM-026""}, {""organization"": ""Pawnee St. Joseph Hospital""}",delivered,
7798640,"{""whatsapp_display_name"": ""Tom Haverford""}, {""whatsapp_phone_number"": ""254722001027""}, {""user_id"": ""DM-027""}, {""organization"": ""Pawnee Parks Department""}",read,
7798598,"{""whatsapp_display_name"": ""April Ludgate""}, {""whatsapp_phone_number"": ""254722001028""}, {""user_id"": ""DM-028""}, {""organization"": ""Pawnee Parks Department""}",delivered,
7798591,"{""whatsapp_display_name"": ""Andy Dwyer""}, {""whatsapp_phone_number"": ""254722001029""}, {""user_id"": ""DM-029""}, {""organization"": ""Pawnee Shoe Shiner""}",read,
7798516,"{""whatsapp_display_name"": ""Ben Wyatt""}, {""whatsapp_phone_number"": ""254722001030""}, {""user_id"": ""DM-030""}, {""organization"": ""Pawnee City Manager""}",responded,
7798446,"{""whatsapp_display_name"": ""Paul Atreides""}, {""whatsapp_phone_number"": ""254722001031""}, {""user_id"": ""DM-031""}, {""organization"": ""House Atreides""}",read,
7798341,"{""whatsapp_display_name"": ""Lady Jessica""}, {""whatsapp_phone_number"": ""254722001032""}, {""user_id"": ""DM-032""}, {""organization"": ""Bene Gesserit""}",responded,
7798326,"{""whatsapp_display_name"": ""Duke Leto Atreides""}, {""whatsapp_phone_number"": ""254722001033""}, {""user_id"": ""DM-033""}, {""organization"": ""House Atreides""}",delivered,
7798252,"{""whatsapp_display_name"": ""Chani""}, {""whatsapp_phone_number"": ""254722001034""}, {""user_id"": ""DM-034""}, {""organization"": ""Fremen""}",read,
7798024,"{""whatsapp_display_name"": ""Duncan Idaho""}, {""whatsapp_phone_number"": ""254722001035""}, {""user_id"": ""DM-035""}, {""organization"": ""House Atreides""}",responded,
7798013,"{""whatsapp_display_name"": ""Thufir Hawat""}, {""whatsapp_phone_number"": ""254722001036""}, {""user_id"": ""DM-036""}, {""organization"": ""House Atreides""}",read,
7798008,"{""whatsapp_display_name"": ""Gurney Halleck""}, {""whatsapp_phone_number"": ""254722001037""}, {""user_id"": ""DM-037""}, {""organization"": ""House Atreides""}",invalid_user,Receiver is incapable of receiving this message
7797955,"{""whatsapp_display_name"": ""Baron Vladimir Harkonnen""}, {""whatsapp_phone_number"": ""254722001038""}, {""user_id"": ""DM-038""}, {""organization"": ""House Harkonnen""}",delivered,
7797940,"{""whatsapp_display_name"": ""Piter De Vries""}, {""whatsapp_phone_number"": ""254722001039""}, {""user_id"": ""DM-039""}, {""organization"": ""House Harkonnen""}",responded,
7797941,"{""whatsapp_display_name"": ""Feyd-Rautha""}, {""whatsapp_phone_number"": ""254722001040""}, {""user_id"": ""DM-040""}, {""organization"": ""House Harkonnen""}",read,
